season,round,circuit_id,driver_number,lap_number,lap_time_s,compound,is_accurate
2021,14,monza,10,1,122.171,HARD,False
2021,14,monza,10,2,89.005,HARD,True
2021,14,monza,10,3,109.173,HARD,False
2021,14,monza,11,1,110.352,MEDIUM,False
2021,14,monza,11,2,87.606,MEDIUM,False
2021,14,monza,11,3,86.741,MEDIUM,True
2021,14,monza,11,4,87.002,MEDIUM,True
2021,14,monza,11,5,87.049,MEDIUM,True
2021,14,monza,11,6,87.019,MEDIUM,True
2021,14,monza,11,7,86.971,MEDIUM,True
2021,14,monza,11,8,86.823,MEDIUM,True
2021,14,monza,11,9,87.595,MEDIUM,True
2021,14,monza,11,10,86.623,MEDIUM,True
2021,14,monza,11,11,86.322,MEDIUM,True
2021,14,monza,11,12,86.387,MEDIUM,True
2021,14,monza,11,13,86.529,MEDIUM,True
2021,14,monza,11,14,86.536,MEDIUM,True
2021,14,monza,11,15,86.499,MEDIUM,True
2021,14,monza,11,16,86.946,MEDIUM,True
2021,14,monza,11,17,86.855,MEDIUM,True
2021,14,monza,11,18,86.88,MEDIUM,True
2021,14,monza,11,19,86.859,MEDIUM,True
2021,14,monza,11,20,86.882,MEDIUM,True
2021,14,monza,11,21,87.377,MEDIUM,True
2021,14,monza,11,22,87.679,MEDIUM,True
2021,14,monza,11,23,86.919,MEDIUM,True
2021,14,monza,11,24,87.257,MEDIUM,True
2021,14,monza,11,25,87.273,MEDIUM,True
2021,14,monza,11,26,105.619,MEDIUM,False
2021,14,monza,11,27,,HARD,False
2021,14,monza,11,28,,HARD,False
2021,14,monza,11,29,149.828,HARD,False
2021,14,monza,11,30,149.721,HARD,False
2021,14,monza,11,31,87.677,HARD,True
2021,14,monza,11,32,86.594,HARD,True
2021,14,monza,11,33,85.645,HARD,True
2021,14,monza,11,34,86.151,HARD,True
2021,14,monza,11,35,86.038,HARD,True
2021,14,monza,11,36,86.045,HARD,True
2021,14,monza,11,37,86.209,HARD,True
2021,14,monza,11,38,86.373,HARD,True
2021,14,monza,11,39,85.718,HARD,True
2021,14,monza,11,40,86.134,HARD,True
2021,14,monza,11,41,85.86,HARD,True
2021,14,monza,11,42,85.919,HARD,True
2021,14,monza,11,43,87.04,HARD,True
2021,14,monza,11,44,104.518,HARD,False
2021,14,monza,11,45,85.965,HARD,True
2021,14,monza,11,46,85.361,HARD,True
2021,14,monza,11,47,85.553,HARD,True
2021,14,monza,11,48,85.8,HARD,True
2021,14,monza,11,49,85.603,HARD,True
2021,14,monza,11,50,85.448,HARD,True
2021,14,monza,11,51,85.274,HARD,True
2021,14,monza,11,52,85.281,HARD,True
2021,14,monza,11,53,85.156,HARD,True
2021,14,monza,14,1,113.42,MEDIUM,False
2021,14,monza,14,2,87.173,MEDIUM,False
2021,14,monza,14,3,87.688,MEDIUM,True
2021,14,monza,14,4,87.75,MEDIUM,True
2021,14,monza,14,5,87.418,MEDIUM,True
2021,14,monza,14,6,87.745,MEDIUM,True
2021,14,monza,14,7,87.629,MEDIUM,True
2021,14,monza,14,8,87.727,MEDIUM,True
2021,14,monza,14,9,87.84,MEDIUM,True
2021,14,monza,14,10,87.749,MEDIUM,True
2021,14,monza,14,11,87.52,MEDIUM,True
2021,14,monza,14,12,87.407,MEDIUM,True
2021,14,monza,14,13,87.299,MEDIUM,True
2021,14,monza,14,14,87.319,MEDIUM,True
2021,14,monza,14,15,87.359,MEDIUM,True
2021,14,monza,14,16,87.369,MEDIUM,True
2021,14,monza,14,17,88.781,MEDIUM,True
2021,14,monza,14,18,87.743,MEDIUM,True
2021,14,monza,14,19,87.347,MEDIUM,True
2021,14,monza,14,20,87.299,MEDIUM,True
2021,14,monza,14,21,87.756,MEDIUM,True
2021,14,monza,14,22,87.71,MEDIUM,True
2021,14,monza,14,23,87.838,MEDIUM,True
2021,14,monza,14,24,88.781,MEDIUM,True
2021,14,monza,14,25,92.11,MEDIUM,False
2021,14,monza,14,26,134.49,HARD,False
2021,14,monza,14,27,119.084,HARD,False
2021,14,monza,14,28,,HARD,False
2021,14,monza,14,29,,HARD,False
2021,14,monza,14,30,142.422,HARD,False
2021,14,monza,14,31,88.28,HARD,True
2021,14,monza,14,32,87.49,HARD,True
2021,14,monza,14,33,87.168,HARD,True
2021,14,monza,14,34,86.614,HARD,True
2021,14,monza,14,35,86.448,HARD,True
2021,14,monza,14,36,86.69,HARD,True
2021,14,monza,14,37,86.48,HARD,True
2021,14,monza,14,38,86.239,HARD,True
2021,14,monza,14,39,86.224,HARD,True
2021,14,monza,14,40,86.11,HARD,True
2021,14,monza,14,41,85.868,HARD,True
2021,14,monza,14,42,86.017,HARD,True
2021,14,monza,14,43,87.18,HARD,True
2021,14,monza,14,44,105.578,HARD,False
2021,14,monza,14,45,86.574,HARD,True
2021,14,monza,14,46,86.474,HARD,True
2021,14,monza,14,47,86.342,HARD,True
2021,14,monza,14,48,86.238,HARD,True
2021,14,monza,14,49,86.021,HARD,True
2021,14,monza,14,50,85.861,HARD,True
2021,14,monza,14,51,85.91,HARD,True
2021,14,monza,14,52,85.472,HARD,True
2021,14,monza,14,53,85.511,HARD,True
2021,14,monza,16,1,108.161,MEDIUM,False
2021,14,monza,16,2,87.99,MEDIUM,False
2021,14,monza,16,3,86.073,MEDIUM,True
2021,14,monza,16,4,86.58,MEDIUM,True
2021,14,monza,16,5,86.473,MEDIUM,True
2021,14,monza,16,6,86.493,MEDIUM,True
2021,14,monza,16,7,86.765,MEDIUM,True
2021,14,monza,16,8,86.613,MEDIUM,True
2021,14,monza,16,9,86.506,MEDIUM,True
2021,14,monza,16,10,86.585,MEDIUM,True
2021,14,monza,16,11,86.543,MEDIUM,True
2021,14,monza,16,12,86.622,MEDIUM,True
2021,14,monza,16,13,86.652,MEDIUM,True
2021,14,monza,16,14,87.043,MEDIUM,True
2021,14,monza,16,15,87.301,MEDIUM,True
2021,14,monza,16,16,87.194,MEDIUM,True
2021,14,monza,16,17,86.985,MEDIUM,True
2021,14,monza,16,18,86.993,MEDIUM,True
2021,14,monza,16,19,86.643,MEDIUM,True
2021,14,monza,16,20,86.964,MEDIUM,True
2021,14,monza,16,21,87.415,MEDIUM,True
2021,14,monza,16,22,87.285,MEDIUM,True
2021,14,monza,16,23,87.224,MEDIUM,True
2021,14,monza,16,24,87.353,MEDIUM,True
2021,14,monza,16,25,87.225,MEDIUM,True
2021,14,monza,16,26,104.442,MEDIUM,False
2021,14,monza,16,27,,HARD,False
2021,14,monza,16,28,,HARD,False
2021,14,monza,16,29,,HARD,False
2021,14,monza,16,30,,HARD,False
2021,14,monza,16,31,88.0,HARD,True
2021,14,monza,16,32,87.935,HARD,True
2021,14,monza,16,33,86.537,HARD,True
2021,14,monza,16,34,86.696,HARD,True
2021,14,monza,16,35,85.697,HARD,True
2021,14,monza,16,36,86.016,HARD,True
2021,14,monza,16,37,86.157,HARD,True
2021,14,monza,16,38,85.801,HARD,True
2021,14,monza,16,39,86.359,HARD,True
2021,14,monza,16,40,86.088,HARD,True
2021,14,monza,16,41,85.826,HARD,True
2021,14,monza,16,42,85.73,HARD,True
2021,14,monza,16,43,86.881,HARD,True
2021,14,monza,16,44,104.866,HARD,False
2021,14,monza,16,45,85.993,HARD,True
2021,14,monza,16,46,85.606,HARD,True
2021,14,monza,16,47,85.956,HARD,True
2021,14,monza,16,48,85.941,HARD,True
2021,14,monza,16,49,85.619,HARD,True
2021,14,monza,16,50,85.511,HARD,True
2021,14,monza,16,51,85.517,HARD,True
2021,14,monza,16,52,85.664,HARD,True
2021,14,monza,16,53,85.319,HARD,True
2021,14,monza,18,1,111.426,MEDIUM,False
2021,14,monza,18,2,87.987,MEDIUM,False
2021,14,monza,18,3,86.738,MEDIUM,True
2021,14,monza,18,4,87.427,MEDIUM,True
2021,14,monza,18,5,87.249,MEDIUM,True
2021,14,monza,18,6,87.483,MEDIUM,True
2021,14,monza,18,7,87.567,MEDIUM,True
2021,14,monza,18,8,87.621,MEDIUM,True
2021,14,monza,18,9,87.566,MEDIUM,True
2021,14,monza,18,10,87.659,MEDIUM,True
2021,14,monza,18,11,87.694,MEDIUM,True
2021,14,monza,18,12,87.729,MEDIUM,True
2021,14,monza,18,13,87.63,MEDIUM,True
2021,14,monza,18,14,87.59,MEDIUM,True
2021,14,monza,18,15,87.465,MEDIUM,True
2021,14,monza,18,16,87.354,MEDIUM,True
2021,14,monza,18,17,87.452,MEDIUM,True
2021,14,monza,18,18,87.305,MEDIUM,True
2021,14,monza,18,19,87.254,MEDIUM,True
2021,14,monza,18,20,87.186,MEDIUM,True
2021,14,monza,18,21,88.104,MEDIUM,True
2021,14,monza,18,22,88.861,MEDIUM,True
2021,14,monza,18,23,87.615,MEDIUM,True
2021,14,monza,18,24,87.541,MEDIUM,True
2021,14,monza,18,25,91.605,MEDIUM,False
2021,14,monza,18,26,134.773,HARD,False
2021,14,monza,18,27,119.612,HARD,False
2021,14,monza,18,28,,HARD,False
2021,14,monza,18,29,,HARD,False
2021,14,monza,18,30,143.817,HARD,False
2021,14,monza,18,31,88.45,HARD,True
2021,14,monza,18,32,87.748,HARD,True
2021,14,monza,18,33,86.823,HARD,True
